event,team_num,fsm
2026casnv,8048,70.32
2026casnv,766,49.89
2026casnv,668,130.93
2026casnv,1967,24.7
2026casnv,7607,40.28
2026casnv,10372,4.91
2026casnv,10644,36.81
2026casnv,6822,9.92
2026casnv,11247,40.24
2026casnv,7528,38.45
2026casnv,2367,9.87
2026casnv,1854,5.28
2026casnv,8404,20.18
2026casnv,6665,27.19
2026caven,4414,343.73
2026caven,7415,149.85
2026caven,5199,99.59
2026caven,599,125.54
2026caven,973,186.35
2026caven,3512,140.12
2026caven,5285,11.08
2026caven,5136,114.59
2026caven,3501,86.11
2026caven,1160,60.32
2026caven,3925,57.05
2026caven,6036,172.86
2026caven,1538,94.59
2026caven,6934,68.11
2026caven,1388,69.87
2026caven,4711,42.37
2026caven,8533,61.89
2026caven,6560,64.03
2026caven,7323,16.83
2026caven,9520,40.97
2026caven,6060,48.29
2026caven,22,18.51
2026caven,589,45.5
2026caven,11024,27.9
2026caven,10936,40.84
2026caven,5869,20.86
2026caven,7327,56.27
2026caven,9271,33.69
2026caven,691,30.56
2026caven,3309,22.62
2026caven,192,10.29
2026caven,5500,31.35
2026caven,5012,34.49
2026caven,6764,17.03
2026caven,8521,27.01
2026caven,1661,17.2
